Name,Cuisine,M_Distinction_24,M_Distinction_23,M_Distinction_22,Price,Y_Rating_Value,Y_Review_Count,Y_Selected_Review,Address
Alain Ducasse at The Dorchester,French,3,3,3,££££ · Spare no expense,3.9,100,9,"Park Lane, Mayfair, London, W1K 1QA, United Kingdom"
CORE by Clare Smyth,Modern British,3,3,3,££££ · Spare no expense,4.6,30,9,"92 Kensington Park Road, North Kensington, London, W11 2PN, United Kingdom"
Hélène Darroze at The Connaught,Modern Cuisine,3,3,3,££££ · Spare no expense,3.9,41,7,"Carlos Place, Mayfair, London, W1K 2AL, United Kingdom"
Restaurant Gordon Ramsay,French,3,3,3,££££ · Spare no expense,4.4,248,22,"68-69 Royal Hospital Road, Chelsea, London, SW3 4HP, United Kingdom"
"Sketch, The Lecture Room & Library",Modern French,3,3,3,££££ · Spare no expense,4,1047,121,"9 Conduit Street, Mayfair, London, W1S 2XG, United Kingdom"
The Ledbury,Modern Cuisine,3,2,2,££££ · Spare no expense,4.6,175,7,"127 Ledbury Road, North Kensington, London, W11 2AQ, United Kingdom"
A.Wong,Chinese,2,2,2,££££ · Spare no expense,4,66,7,"70 Wilton Road, Victoria, London, SW1V 1DE, United Kingdom"
Alex Dilling at Hotel Café Royal,Modern French,2,2,0,££££ · Spare no expense,3,2,,"68 Regent Street, Soho, London, W1B 4DY, United Kingdom"
Brooklands,Modern Cuisine,2,0,0,££££ · Spare no expense,5,1,,"1 Grosvenor Place, Belgravia, London, SW1X 7HJ, United Kingdom"
Claude Bosi at Bibendum,French,2,2,2,££££ · Spare no expense,3.9,73,9,"Michelin House, 81 Fulham Road, Chelsea, London, SW3 6RD, United Kingdom"
Da Terra,Creative,2,2,2,££££ · Spare no expense,5,5,,"8 Patriot Square, Tower Hamlets, London, E2 9NF, United Kingdom"
Dinner by Heston Blumenthal,Traditional British,2,2,2,££££ · Spare no expense,4.4,312,20,"66 Knightsbridge, Hyde Park and Knightsbridge, London, SW1X 7LA, United Kingdom"
Gymkhana,Indian,2,1,1,££££ · Spare no expense,4.3,212,48,"42 Albemarle Street, Mayfair, London, W1S 4JH, United Kingdom"
Ikoyi,Creative,2,2,2,££££ · Spare no expense,4.6,23,,"180 Strand, Strand and Covent Garden, London, WC2R 1EA, United Kingdom"
Kitchen Table,Modern Cuisine,2,2,2,££££ · Spare no expense,4.8,41,5,"70 Charlotte Street, Bloomsbury, London, W1T 4QG, United Kingdom"
La Dame de Pic London,"Modern French, French Contemporary",2,2,2,££££ · Spare no expense,4.7,7,,"10 Trinity Square, City of London, London, EC3N 4AJ, United Kingdom"
Le Gavroche,French,2,2,2,££££ · Spare no expense,4.3,65,3,"43 Upper Brook St, London W1K 7QR"
Story,Modern Cuisine,2,2,2,££££ · Spare no expense,4.5,43,1,"199 Tooley Street, Southwark, London, SE1 2JX, United Kingdom"
The Clove Club,Creative,2,2,2,££££ · Spare no expense,4.3,115,15,"Shoreditch Town Hall, 380 Old Street, Shoreditch, London, EC1V 9LT, United Kingdom"
Trivet,Modern Cuisine,2,1,1,££££ · Spare no expense,4.7,3,,"36 Snowsfields, Southwark, London, SE1 3SU, United Kingdom"
1890 by Gordon Ramsay,French Contemporary,1,0,0,££££ · Spare no expense,0,0,,"Strand, Strand and Covent Garden, London, WC2R 0EU, United Kingdom"
Akoko,"African, Creative",1,0,0,££££ · Spare no expense,0,0,,"21 Berners Street, Regent’s Park and Marylebone, London, W1T3LP, United Kingdom"
Amaya,Indian,1,1,1,£££ · Special occasion,4.2,192,15,"Halkin Arcade, 19 Motcomb Street, Belgravia, London, SW1X 8JT, United Kingdom"
Angler,Seafood,1,1,1,££££ · Spare no expense,4.3,17,,"3 South Place, Finsbury, London, EC2M 2AF, United Kingdom"
Aulis,Creative British,1,0,0,££££ · Spare no expense,4.5,2,,"16A St Anne's Court, Soho, London, W1F 0BF, United Kingdom"
Barrafina,Spanish,0,1,1,££ · A moderate spend,4.2,53,,"26-27 Dean Street, Soho, London, W1D 3LL, United Kingdom"
Behind,Modern British,1,1,1,££££ · Spare no expense,4,1,,"20 Sidworth Street, London Fields, London, E8 3SD, United Kingdom"
Benares,Indian,1,1,1,££££ · Spare no expense,3.8,126,10,"12a Berkeley Square, Mayfair, London, W1J 6BS, United Kingdom"
Brat,Traditional British,1,1,1,£££ · Special occasion,4.2,40,21,"4 Redchurch Street, Shoreditch, London, E1 6JL, United Kingdom"
Casa Fofō,Modern Cuisine,1,1,1,£££ · Special occasion,5,2,,"158 Sandringham Road, Dalston, London, E8 2HS, United Kingdom"
Chez Bruce,French,1,1,1,£££ · Special occasion,4.6,59,2,"2 Bellevue Road, Wandsworth, London, SW17 7EG, United Kingdom"
Chishuru,African,1,0,0,£££ · Special occasion,0,0,,"3 Great Titchfield Street, Regent’s Park and Marylebone, London, W1W 8AX, United Kingdom"
City Social,"Modern Cuisine, Classic Cuisine",1,1,1,£££ · Special occasion,4,45,14,"Tower 42, 25 Old Broad Street, City of London, London, EC2N 1HQ, United Kingdom"
Club Gascon,French,1,1,1,££££ · Spare no expense,4,27,,"57 West Smithfield, City of London, London, EC1A 9DS, United Kingdom"
Cornerstone,European Contemporary,1,1,1,££££ · Spare no expense,5,2,,"49 Hollywood Road, Central, Hong Kong"
Cycene,Modern Cuisine,1,1,0,££££ · Spare no expense,0,0,,"Blue Mountain School, 9 Chance Street, Tower Hamlets, London, E2 7JB, United Kingdom"
Dining Room at The Goring,Traditional British,1,1,1,£££ · Special occasion,4.1,33,5,"15 Beeston Place, Victoria, London, SW1W 0JW, United Kingdom"
Dorian,Modern British,1,0,0,£££ · Special occasion,3.7,3,,"105 Talbot Road, North Kensington, London, W11 2AT, United Kingdom"
Dysart Petersham,Modern Cuisine,1,1,1,£££ · Special occasion,4.4,9,,"135 Petersham Road, Richmond-Upon-Thames, London, TW10 7AA, United Kingdom"
Elystan Street,Modern British,1,1,1,£££ · Special occasion,4.1,16,,"43 Elystan Street, Chelsea, London, SW3 3NT, United Kingdom"
Endo at The Rotunda,Japanese,1,1,1,££££ · Spare no expense,0,0,,"The Helios, 101 Wood Lane, Hammersmith & Fulham, London, W12 7FR, United Kingdom"
Evelyn's Table,Modern Cuisine,1,1,1,££££ · Spare no expense,4.5,2,,"The Blue Posts, 28 Rupert Street, Soho, London, W1D 6DJ, United Kingdom"
Five Fields,Modern Cuisine,1,1,1,££££ · Spare no expense,4.8,21,,"8-9 Blacklands Terrace, Chelsea, London, SW3 2SP, United Kingdom"
Frog by Adam Handling,Modern Cuisine,1,1,1,££££ · Spare no expense,4.8,20,,"34-35 Southampton Street, Strand and Covent Garden, London, WC2E 7HG, United Kingdom"
Galvin La Chapelle,French,1,1,1,£££ · Special occasion,4,64,5,"35 Spital Square, Tower Hamlets, London, E1 6DY, United Kingdom"
Hakkasan Hanway Place,Chinese,0,1,1,££££ · Spare no expense,4.2,235,,"8 Hanway Place, Bloomsbury, London, W1T 1HD, United Kingdom"
Hakkasan Mayfair,Chinese,0,1,1,££££ · Spare no expense,4,155,,"17 Bruton Street, Mayfair, London, W1J 6QB, United Kingdom"
Harwood Arms,Modern British,1,1,1,£££ · Special occasion,4.6,149,18,"Walham Grove, Hammersmith & Fulham, London, SW6 1QP, United Kingdom"
HIDE,Modern British,1,1,1,££££ · Spare no expense,4.5,55,20,"85 Piccadilly, Mayfair, London, W1J 7NB, United Kingdom"
Humble Chicken,Japanese,1,0,0,££££ · Spare no expense,0,0,,"54 Frith Street, Soho, London, W1D 4SL, United Kingdom"
Humo,Grills,1,0,0,££££ · Spare no expense,0,0,,"12 St George Street, Mayfair, London, W1S, United Kingdom"
Jamavar,Indian,1,1,1,£££ · Special occasion,4.1,61,17,"8 Mount Street, Mayfair, London, W1K 3NF, United Kingdom"
Kai,Chinese,1,1,1,££££ · Spare no expense,3.9,51,7,"65 South Audley Street, Mayfair, London, W1K 2QU, United Kingdom"
Kitchen W8,Modern Cuisine,1,1,1,£££ · Special occasion,4.3,44,5,"11-13 Abingdon Road, Kensington, London, W8 6AH, United Kingdom"
KOL,"Mexican, Modern Cuisine",1,1,1,££££ · Spare no expense,5,1,,"9 Seymour Street, Regent’s Park and Marylebone, London, W1H 7BA, United Kingdom"
La Trompette,Modern British,1,1,1,£££ · Special occasion,4.5,37,1,"3-7 Devonshire Road, Hounslow, London, W4 2EU, United Kingdom"
Leroy,Modern British,0,1,1,£££ · Special occasion,4.1,16,,"18 Phipp Street, Shoreditch, London, EC2A 4NU, United Kingdom"
Locanda Locatelli,Italian,1,1,1,££££ · Spare no expense,4.2,64,4,"8 Seymour Street, Regent’s Park and Marylebone, London, W1H 7JZ, United Kingdom"
Luca,Italian,1,1,0,£££ · Special occasion,3.9,9,,"88 St John Street, Clerkenwell, London, EC1M 4EH, United Kingdom"
Lyle's,Modern British,1,1,1,£££ · Special occasion,4,52,16,"Tea Building, 56 Shoreditch High Street, Shoreditch, London, E1 6JJ, United Kingdom"
Mãos,European Contemporary,0,0,1,££££ · Spare no expense,5,2,,"41 Redchurch St, London E2 7DJ"
Marcus,British,0,1,1,££££ · Spare no expense,4.3,64,,"Knightsbridge Wilton Place, London SW1X 7RL England"
Mountain,Spanish,1,0,0,£££ · Special occasion,0,0,,"16-18 Beak Street, Soho, London, W1F 9RD, United Kingdom"
Murano,Italian,1,1,1,££££ · Spare no expense,4,45,5,"20 Queen Street, Mayfair, London, W1J 5PP, United Kingdom"
Muse,"Creative, Contemporary",1,1,1,££££ · Spare no expense,5,1,,"38 Groom Place, Belgravia, London, SW1X 7BA, United Kingdom"
Ormer Mayfair,Modern British,1,0,0,££££ · Spare no expense,4.3,9,,"7-12 Half Moon Street, Mayfair, London, W1J 7BH, United Kingdom"
Pavyllon London,French Contemporary,1,0,0,££££ · Spare no expense,0,0,,"Four Seasons Hotel, Hamilton Place, Mayfair, London, W1J 7DR, United Kingdom"
Pétrus by Gordon Ramsay,"French, French Contemporary",1,1,1,££££ · Spare no expense,4.5,138,17,"1 Kinnerton Street, Belgravia, London, SW1X 8EA, United Kingdom"
Pied à Terre,Creative,1,1,1,££££ · Spare no expense,4.5,65,10,"34 Charlotte Street, Bloomsbury, London, W1T 2NH, United Kingdom"
Pollen Street Social,Modern Cuisine,1,1,1,££££ · Spare no expense,4.2,94,7,"8-10 Pollen Street, Mayfair, London, W1S 1NQ, United Kingdom"
Portland,Modern Cuisine,1,1,1,£££ · Special occasion,4.5,23,,"113 Great Portland Street, Regent’s Park and Marylebone, London, W1W 6QQ, United Kingdom"
Quilon,Indian,1,1,1,£££ · Special occasion,4.4,173,16,"41 Buckingham Gate, Victoria, London, SW1E 6AF, United Kingdom"
Ritz Restaurant,Modern British,1,1,1,££££ · Spare no expense,4.1,32,9,"150 Piccadilly, St James’s, London, W1J 9BR, United Kingdom"
River Café,Italian,1,1,1,££££ · Spare no expense,4.1,100,14,"Thames Wharf, Rainville Road, Hammersmith & Fulham, London, W6 9HA, United Kingdom"
Sabor,Spanish,1,1,1,££ · A moderate spend,4.3,20,,"35-37 Heddon Street, Mayfair, London, W1B 4BR, United Kingdom"
Seven Park Place,British,0,0,1,££££ · Spare no expense,4.3,15,,"7-8 Park Pl, St. James's, London SW1A 1LS"
SO|LA,"Californian, Modern Cuisine",1,1,1,££££ · Spare no expense,0,0,,"64 Dean Street, Soho, London, W1D 4QQ, United Kingdom"
Sollip,Creative,1,1,0,££££ · Spare no expense,5,2,,"Unit 1, 8 Melior Street, Southwark, London, SE1 3QP, United Kingdom"
St. Barts,Modern Cuisine,1,1,0,££££ · Spare no expense,5,1,,"63 Bartholomew Close, City of London, London, EC1A 7BF, United Kingdom"
St. JOHN,Traditional British,1,1,1,£££ · Special occasion,4.2,328,17,"26 St. John Street, Clerkenwell, London, EC1M 4AY, United Kingdom"
Sushi Kanesaka,"Japanese, Sushi",1,0,0,££££ · Spare no expense,0,0,,"45 Park Lane, Mayfair, London, W1K 1PN, United Kingdom"
Taku,"Japanese, Sushi",1,1,0,££££ · Spare no expense,0,0,,"36 Albemarle Street, Mayfair, London, W1S 4JE, United Kingdom"
The Ninth,Mediterranean Cuisine,1,1,1,£££ · Special occasion,4.5,32,8,"22 Charlotte Street, Bloomsbury, London, W1T 2NB, United Kingdom"
Trinity,Modern Cuisine,1,1,1,£££ · Special occasion,4.4,39,1,"4 The Polygon, Lambeth, London, SW4 0JG, United Kingdom"
Trishna,Indian,1,1,1,££ · A moderate spend,4.4,129,30,"15-17 Blandford Street, Regent’s Park and Marylebone, London, W1U 3DG, United Kingdom"
Umu,Japanese,1,1,1,££££ · Spare no expense,4.1,39,1,"14-16 Bruton Place, Mayfair, London, W1J 6LX, United Kingdom"
Veeraswamy,Indian,1,1,1,£££ · Special occasion,4.2,228,25,"Victory House, 99 Regent Street, Mayfair, London, W1B 4RS, United Kingdom"
Wild Honey St James,Modern British,1,1,1,£££ · Special occasion,4.1,86,15,"8 Pall Mall, St James’s, London, SW1Y 5NG, United Kingdom"